NewSessionID,SessionID,LocationID,Date,Language,Expert (User2),Novice (User1),Topic,Duration (min),Unexpected Event Type,Unexpected Event Time (approx),Comment,Expert ProjectConsent,Expert DisseminationConsent,Expert PublicConsent,Novice ProjectConsent,Novice DisseminationConsent,Novice PublicConsent,User1.keywords,User1.expertise,User1.proficiency,User1.encountered_before,User1.level,User2.keywords,User2.expertise,User2.proficiency,User2.encountered_before,User2.level
18,18,P,18/04/2016,French,72,71,South America,33.16,CALL,5,,YES,YES,YES,YES,YES,YES,,None,Native/bilingual,No,N/A,travel,Expert,Native/bilingual,No,N/A
19,19,P,20/04/2016,Italian,73,74,Italian food,15.58,CALL,5,,YES,YES,YES,YES,YES,YES,"regional food, recipes, desserts",Intermediate,Native/bilingual,Yes,Acquaintances,"local food, pizza",Advanced,Native/bilingual,Yes,Acquaintances
20,20,P,21/04/2016,French,1,76,Photography,11.02,WALK IN,5,,YES,YES,YES,YES,YES,YES,,Novice,Native/bilingual,No,N/A,"light painting, focal lenght",Intermediate,Native/bilingual,No,N/A
21,21,P,25/04/2016,French,77,12,Movies,14.25,WALK IN,5,,YES,YES,YES,YES,YES,YES,star trek,Novice,Native/bilingual,Yes,Acquaintances,"space, spaceship",Advanced,Full,Yes,Acquaintances
22,22,P,25/04/2016,French,84,12,Music,17.37,WALK IN,5,,YES,YES,YES,YES,YES,YES,arabo-andalusian music,Advanced,Native/bilingual,No,N/A,"mandolin, arabic oud",Expert,Native/bilingual,No,N/A
23,23,P,25/04/2016,French,84,85,Music,20.34,CALL,5,,YES,YES,YES,YES,YES,YES,,Novice,Full,No,N/A,arabo-andalusian music,Expert,Native/bilingual,No,N/A
24,24,P,27/04/2016,French,7,71,Football,22.36,CALL,5,,YES,YES,YES,YES,YES,YES,,Intermediate,Full,No,N/A,sport,Expert,Native/bilingual,No,N/A
25,25,P,27/04/2016,French,7,86,Videogames,23.14,WALK IN,5,,YES,YES,YES,YES,YES,YES,,Novice,Full,No,N/A,"videogames, virtual reality, technology",Advanced,Native/bilingual,No,N/A
26,1,N,6/4/2016,English,42,41,Dementia,12.03,CALL,5,,YES,YES,YES,YES,YES,YES,"social dementia, vascular dementia, alzheirmer",None,Limited,No,N/A,"help seeking, prevention, symptoms",Intermediate,Native/bilingual,No,N/A
27,2,N,6/4/2016,English,42,43,Lino printing,11.10,WALK IN,5,,YES,YES,YES,YES,YES,YES,"art, cutting, printing",None,Full,No,N/A,releif printng,Intermediate,Native/bilingual,No,N/A
28,3,N,6/4/2016,English,44,41,Human Geography,19.28,CALL,5,,YES,YES,YES,YES,YES,YES,"alcohol, drinking problem, social",None,Limited,No,N/A,"alcohol, young people, uk",Advanced,Native/bilingual,No,N/A
29,4,N,6/4/2016,English,44,43,Dementia,13.42,WALK IN,5,,YES,YES,YES,YES,YES,YES,"home-care, treatment, patients and their families",Novice,Full,Yes,Acquaintances,"dementia, home care, client ",Advanced,Native/bilingual,Yes,Acquaintances
30,5,N,6/4/2016,English,45,44,Food & Research,10.52,CALL,5,,YES,YES,YES,YES,YES,YES,heart segmentation,None,Native/bilingual,No,N/A,"segmentation, heart vessels",Advanced,Average,No,N/A
31,6,N,6/4/2016,English,46,41,Computer Security,15.55,WALK IN,5,,YES,YES,YES,YES,YES,YES,"security, router, networking, spoofing",None,Limited,No,N/A,security networks,Expert,Native/bilingual,No,N/A
32,7,N,7/4/2016,English,47,48,Performing,24.52,CALL,6.30,,YES,YES,YES,YES,YES,YES,"music, theater, performers",Novice,Full,Yes,Acquaintances,"stage, ego, adrenaline",Advanced,Native/bilingual,Yes,Acquaintances
33,8,N,7/4/2016,English,47,49,Music,17.55,WALK IN,6.20,,YES,YES,YES,YES,YES,YES,"audio, piano",Novice,Native/bilingual,No,N/A,"piano, acoustic, learning, equipment, keyboard",Expert,Native/bilingual,No,N/A
34,9,N,7/4/2016,English,50,47,Capoeira,10.58,CALL,6,,YES,YES,YES,YES,YES,YES,"dance, fighting, acrobatics",None,Native/bilingual,No,N/A,"martial arts, acrobatics",Novice,Full,No,N/A
35,10,N,7/4/2016,English,50,47,Animals,23.02,WALK IN,5,,YES,YES,YES,YES,YES,YES,"surgery, animals, vet placements",None,Native/bilingual,No,N/A,"animals, surgeries, dogs",Advanced,Full,No,N/A
36,11,N,7/4/2016,English,50,51,Comics,11.44,CALL,5,,YES,YES,YES,YES,YES,YES,anime,Advanced,Average,No,N/A,"animation, japanese, culture",Intermediate,Full,No,N/A
37,12,N,7/4/2016,English,50,45,Animals,12.54,WALK IN,6.30,,YES,YES,YES,YES,YES,YES,"animals, surgery, human interaction",None,Average,No,N/A,"animal, surgeries",Advanced,Full,No,N/A
38,13,N,7/4/2016,English,52,46,Games,11.48,CALL,5,,YES,YES,YES,YES,YES,YES,"games development, playing",Intermediate,Native/bilingual,No,N/A,"games, computers",Expert,Native/bilingual,No,N/A
39,14,N,7/4/2016,English,42,53,Dementia,8.56,WALK IN,6,,YES,YES,YES,YES,YES,YES,"nursing, care, illness",Novice,Native/bilingual,No,N/A,"social care, nursing, symptoms",Intermediate,Native/bilingual,No,N/A
40,15,N,7/4/2016,English,54,42,Food,17.55,CALL,5,,YES,YES,YES,YES,YES,YES,"baking, beef wellington, experience",Novice,Native/bilingual,No,N/A,cooking,Intermediate,Native/bilingual,No,N/A
41,16,N,7/4/2016,Spanish,56,43,Cars and research,17.02,WALK IN,5,,YES,YES,YES,YES,YES,YES,"cars, safety, driving, environment",Novice,Native/bilingual,No,N/A,navigation system,Advanced,Native/bilingual,No,N/A
42,17,N,7/4/2016,English,55,54,Travel and Indonesia,12.22,CALL,5,,YES,YES,YES,YES,YES,YES,"food, travel, culture",Novice,Native/bilingual,No,N/A,"food, culture, tradition",Intermediate,Limited,No,N/A
43,18,N,7/4/2016,English,55,45,Education,10.40,WALK IN,5,,YES,YES,YES,YES,YES,YES,"pharmacy, medicine",None,Average,No,N/A,"drug, patients",Advanced,Average,No,N/A
44,19,N,7/4/2016,English,57,55,Technology,20.47,CALL,5,,YES,YES,YES,YES,YES,YES,"gadgets, iphone, android, ecosystem",Novice,Limited,No,N/A,mobile devices,Expert,Native/bilingual,No,N/A
45,20,N,7/4/2016,English,57,55,Politics,28.33,WALK IN,5,,YES,YES,YES,YES,YES,YES,"eu, refugees, crisis",None,Average,Yes,Acquaintances,"debt crisis, eu",Advanced,Native/bilingual,Yes,Acquaintances
46,21,N,7/4/2016,English,57,53,Technology,17.41,CALL,5,,YES,YES,YES,YES,YES,YES,"games, unity, programming",None,Native/bilingual,No,N/A,"games, unity, cs",Expert,Native/bilingual,No,N/A
47,22,N,7/4/2016,English,57,53,Game Development,21.44,WALK IN,5.45,,YES,YES,YES,YES,YES,YES,"android, ios, technology",Intermediate,Native/bilingual,No,N/A,"game development, vs",Expert,Native/bilingual,No,N/A
48,23,N,12/4/2016,English,58,43,Hackathons,17.12,CALL,5,,YES,YES,YES,YES,YES,YES,"programming, hobbies, freebies",Novice,Full,No,N/A,"hacking, programing",Intermediate,Native/bilingual,No,N/A
49,24,N,12/4/2016,English,58,59,Marathon,21.30,WALK IN,5,,YES,YES,YES,YES,YES,YES,"half marathon, training",Intermediate,Limited,No,N/A,running,Intermediate,Native/bilingual,No,N/A
50,25,N,12/4/2016,English,60,41,Banking,23.22,WALK IN,5,,YES,YES,YES,YES,YES,YES,"investments, multiple accounts, interest rate",Novice,Limited,Yes,Very good friends,"interest, current account",Novice,Full,Yes,Very good friends
51,26,N,12/4/2016,Indonesian,60,41,Travelling,17.36,CALL,5,,YES,YES,YES,YES,YES,YES,"budapest, prague, vienna",None,Native/bilingual,Yes,Very good friends,"budapest, prague, vienna",Novice,Native/bilingual,Yes,Very good friends
52,27,N,12/4/2016,English,61,60,Tax Amnesty,9.54,WALK IN,5,,YES,YES,YES,YES,YES,YES,"tax, investment, indonesia",Novice,Full,Yes,Very good friends,"tax amnesty, panama papers, tax avoidance",Intermediate,Average,Yes,Friends
53,28,N,12/4/2016,Indonesian,61,60,The UK,10.00,CALL,8,,YES,YES,YES,YES,YES,YES,"lifestyle, lights, food, shops",Intermediate,Native/bilingual,Yes,Very good friends,"food, shops, uk house",Intermediate,Native/bilingual,Yes,Friends
54,29,N,12/4/2016,Indonesian,61,41,Research,26.45,CALL,5,,YES,YES,YES,YES,YES,YES,"organizational reform, employee, turn over",Novice,Native/bilingual,Yes,Very good friends,"organisational reform, employee wants to leave",Advanced,Native/bilingual,Yes,Very good friends
55,30,N,14/4/2016,English,63,54,Research,14.58,WALK IN,5,,YES,YES,YES,YES,YES,YES,"location tracking, privacy",Novice,Native/bilingual,Yes,Acquaintances,"wifi, bluetooth, indoor positioning, occupancy model",Intermediate,Average,Yes,Acquaintances
56,31,N,14/4/2016,English,63,54,Cooking,14.31,CALL,5,,YES,YES,YES,YES,YES,YES,"food, cooking, regions",None,Native/bilingual,Yes,Acquaintances,"south asian cooking, indian food",Advanced,Average,Yes,Acquaintances
57,32,N,14/4/2016,English,63,54,Travelling,16.45,WALK IN,5,,YES,YES,YES,YES,YES,YES,travel,Intermediate,Native/bilingual,Yes,Acquaintances,"york, edinburgh,cornwall",Intermediate,Average,Yes,Acquaintances
58,33,N,14/4/2016,English,65,64,Mexico,25.10,CALL,11,,YES,YES,YES,YES,YES,YES,mexican culture,None,Limited,No,N/A,"travel, food, tourism",Advanced,Average,No,N/A
59,34,N,14/4/2016,Spanish,65,43,Food,5.49,WALK IN,5,,YES,YES,YES,YES,YES,YES,"mexican food, missing food, imported food",Intermediate,Native/bilingual,Yes,Acquaintances,mexican food,Intermediate,Native/bilingual,Yes,Acquaintances
60,35,N,14/4/2016,Spanish,66,65,Movies,28.59,CALL,5,,YES,YES,YES,YES,YES,YES,"movies, films",Intermediate,Native/bilingual,Yes,Acquaintances,"film, cinema, cartoon",Advanced,Native/bilingual,Yes,Acquaintances
61,36,N,14/4/2016,Spanish,66,43,Food,21.28,WALK IN,5,,YES,YES,YES,YES,YES,YES,"food, snails",Advanced,Full,Yes,Acquaintances,"cooking, food, favourite foods",Expert,Native/bilingual,Yes,Acquaintances
62,37,N,14/4/2016,English,70,66,Book,22.35,CALL,7,,YES,YES,YES,YES,YES,YES,"books, drugs, heroine",Advanced,Full,Yes,Acquaintances,"beat poets, american literature",Advanced,Native/bilingual,Yes,Acquaintances
63,38,N,14/4/2016,English,70,66,Research,10.40,WALK IN,5,,YES,YES,YES,YES,YES,YES,"priceton, alcohol, science",Advanced,Full,Yes,Acquaintances,"maths, types, proofs",Advanced,Native/bilingual,Yes,Friends
64,39,N,14/4/2016,English,61,70,Indonesia,11.29,WALK IN,5,,YES,YES,YES,YES,YES,YES,"asia, indonesia, travel",Intermediate,Native/bilingual,No,Acquaintances,"islands, traffic, sunlight",Advanced,Native/bilingual,No,N/A
65,40,N,14/4/2016,Indonesian,61,41,Public Transport,22.28,CALL,5,,YES,YES,YES,YES,YES,YES,"motorbike, taxis, business",Intermediate,Native/bilingual,Yes,Very good friends,"motorbike, taxi, business",Intermediate,Native/bilingual,Yes,Very good friends
66,1,A,23/5/2016,German,90,89,Google Glass,19.00,CALL,5,MICROPHONE INTERUPTIONS on EXPERT MIC,YES,YES,YES,YES,YES,YES,"Google, Data protection, Glasses",Novice,Native/bilingual,Yes,Acquaintances,"Glasses, Privacy",Advanced,Native/bilingual,Yes,Acquaintances
67,2,A,23/5/2016,German,92,94,Diving,31.46,WALK IN,5.30,,YES,YES,YES,YES,YES,YES,"Equipment, Experience",None,Native/bilingual,Yes,Very good friends,"Equipement, Experience",Advanced,Native/bilingual,Yes,Very good friends
68,3,A,23/5/2016,German,94,92,Handball,16.50,WALK IN,7.30,,YES,YES,YES,YES,YES,YES,"Basics, Experiences, Training",None,Native/bilingual,Yes,Very good friends,"Training, Basics, Experiences",Expert,Native/bilingual,Yes,Very good friends
69,4,A,23/5/2016,German,95,96,Augmented Reality,31.54,CALL,6.20,,YES,YES,YES,YES,YES,YES,"AR, Advertisement, Profesional Area",Intermediate,Native/bilingual,Yes,Acquaintances,Digital Information in real life,Advanced,Native/bilingual,Yes,Acquaintances
70,5,A,23/5/2016,German,96,98,Bicycle racing,17.23,WALK IN,6.13,,YES,YES,YES,YES,YES,YES,"Long distance cycling, adventure",None,Native/bilingual,No,N/A,"Transcontinental, Racing",Advanced,Native/bilingual,No,N/A
71,6,A,23/5/2016,German,99,100,Aikido,21.03,CALL,5,,YES,YES,YES,YES,YES,YES,,None,Native/bilingual,Yes,Acquaintances,"Fighting, Japan",Intermediate,Native/bilingual,Yes,Acquaintances
72,7,A,23/5/2016,German,100,101,Car driving behavior,14.30,WALK IN,6,,YES,YES,YES,YES,YES,YES,"GPS, Driving, China",Novice,Native/bilingual,Yes,Acquaintances,Mining Driving Preferences,Expert,Native/bilingual,Yes,Acquaintances
73,8,A,23/5/2016,German,102,101,Tent camps,15.01,CALL,4.45,,YES,YES,YES,YES,YES,YES,"Camp, Kids, Church",None,Native/bilingual,Yes,Acquaintances,"Camp, Kids, Church",Expert,Native/bilingual,Yes,Acquaintances
74,9,A,23/5/2016,German,103,104,Software Anomalies,15.54,WALK IN,5.30,,YES,YES,YES,YES,YES,YES,Machine Learning,None,Native/bilingual,Yes,Acquaintances,"IT, Machine Learning",Intermediate,Native/bilingual,Yes,Acquaintances
75,10,A,23/5/2016,German,104,103,Cryptography,16.35,WALK IN,5,,YES,YES,YES,YES,YES,YES,"Cryptograhy, Web, Javascript",Intermediate,Native/bilingual,Yes,Acquaintances,Cryptography,Advanced,Native/bilingual,Yes,Acquaintances
76,11,A,24/5/2016,German,108,107,"Drawing, Sports",8.21,WALK IN,5,,YES,YES,YES,YES,YES,YES,"Painting, Drawing, Sports",Novice,Native/bilingual,Yes,Very good friends,"Drawing, Sports",Advanced,Limited,Yes,Very good friends
77,12,A,24/5/2016,German,110,109,Secret Services,14.54,CALL,4.30,,YES,YES,YES,YES,YES,YES,"Secret Service, USA, World War 1",Novice,Native/bilingual,Yes,Very good friends,"Intelligence, USA, National Security",Advanced,Native/bilingual,Yes,Very good friends
78,13,A,24/5/2016,German,113,112,"Game of Thrones, TV Series",19.24,WALK IN,5,,YES,YES,YES,YES,YES,YES,"Game of Thrones, Sherlock",Intermediate,Native/bilingual,No,N/A,"Game of Thrones, Sherlock, TV",Expert,Native/bilingual,No,N/A
79,14,A,24/5/2016,German,115,116,Blender,15,CALL,5,,YES,YES,YES,YES,YES,NO,"Blender, Creative Commons, Open Movies",Intermediate,Native/bilingual,Yes,Acquaintances,"3D Modelling, Animated Movies, Open Source",Advanced,Native/bilingual,Yes,Friends
80,15,A,24/5/2016,German,118,115,Retro Games,15.08,CALL,5,,YES,YES,YES,YES,YES,YES,"Old games, Emulators",Intermediate,Native/bilingual,Yes,Acquaintances,"Consoles, Monkey island, Nintendo",Advanced,Native/bilingual,Yes,Acquaintances
81,16,A,24/5/2016,German,116,121,Magic tricks,19.26,WALK IN,5,,YES,YES,NO,YES,YES,YES,"Opinion on cheating, Public shows",Novice,Native/bilingual,Yes,Acquaintances,"Magic boxes, Card tricks, magic shows",Advanced,Native/bilingual,Yes,Acquaintances
82,17,A,25/5/2016,German,124,125,Car driving/crash behaviour,7,WALK IN,4.30,,YES,YES,YES,YES,YES,NO,,Novice,Native/bilingual,Yes,Acquaintances,"Accident, Travel to University",Intermediate,Native/bilingual,Yes,Friends
83,18,A,25/5/2016,German,128,127,Medical Diagnostic Systems,10.21,CALL,4.30,,YES,YES,YES,YES,YES,YES,"Health, Database, Desease",None,Native/bilingual,Yes,Friends,,Intermediate,Native/bilingual,Yes,Friends
84,19,A,31/5/2016,German,131,133,Kung Fu,29.1,CALL,5,,YES,YES,YES,YES,YES,YES,"Training, Fight Sports, Phiosophy",Novice,Native/bilingual,Yes,Very good friends,"Basics, Principals, Applications",Advanced,Native/bilingual,Yes,Friends
